numero_asociado,ramo_industrial,clave_del_producto,estado,fecha_factura
105340,M1,CAS012003,Pendiente,
105340,M1,CAS012004,Pendiente,
105340,M1,CAS012005,Pendiente,
105340,M1,CAS012006,Pendiente,
105340,M1,CAS012007,Pendiente,
105341,M4,CAS011995,Pendiente,
105341,M4,CAS011996,Pendiente,
105341,M4,CAS011997,Pendiente,
105341,M4,CAS011998,Pendiente,
105341,M4,CAS011999,Pendiente,
105341,M4,CAS012000,Pendiente,
105341,M4,CAS012001,Pendiente,
105341,M4,CAS012002,Pendiente,
105341,M4,CAS012003,Pendiente,
105341,M4,CAS012004,Pendiente,
105341,M4,CAS012005,Pendiente,
105341,M4,CAS012006,Pendiente,
105342,M4,CAS012000,Pendiente,
105342,M4,CAS012001,Pendiente,
105342,M4,CAS012002,Pendiente,
105342,M4,CAS012003,Pendiente,
105342,M4,CAS012004,Pendiente,
105342,M4,CAS012005,Pendiente,
105342,M4,CAS012006,Pendiente,
105343,M1,CAS012001,Pendiente,
105343,M1,CAS012002,Pendiente,
105343,M1,CAS012003,Pendiente,
105343,M1,CAS012004,Pendiente,
105343,M1,CAS012005,Pendiente,
105343,M1,CAS012006,Pendiente,
105344,M4,CAS012001,Pendiente,
105344,M4,CAS012002,Pendiente,
105344,M4,CAS012003,Pendiente,
105344,M4,CAS012004,Pendiente,
105344,M4,CAS012005,Pendiente,
105344,M4,CAS012006,Pendiente,
105348,M1,CAS012006,Pendiente,
105349,M1,CAS011995,Pendiente,
105349,M1,CAS011996,Pendiente,
105349,M1,CAS011997,Pendiente,
